"FOREST HILLS" ,4-18-100-7,510,401,38,82,7,1,1,0,0,492,547,1040,B110
"BEECH" ,4-18-100-7,462,302,40,59,7,1,0,0,0,361,510,871,B114
"GRAYSON-SPRINGHILL" ,4-18-100-7,522,534,40,55,4,1,0,0,0,526,630,1156,B115
"AVONDALE" ,4-18-100-7,367,339,28,51,5,2,0,0,0,370,422,792,B116
"HILLENDALE" ,4-18-100-7,273,292,5,30,3,1,1,0,0,263,342,605,B117
"RICE # 1" ,4-18-100-7,327,333,31,40,2,0,0,0,0,365,367,733,B118
"RICE # 2" ,4-18-100-7,339,380,26,41,1,0,0,0,1,400,388,788,B119
"POAGE" ,4-18-100-7,331,377,27,33,5,1,5,0,0,373,406,779,B121
"PRINCESS" ,5-18-100-7,369,357,34,37,2,0,0,0,0,390,408,799,C102
"KYOVA" ,5-18-098-7,357,303,27,32,3,0,0,0,0,336,386,722,C103
"HOODS CREEK" ,4-18-098-7,502,476,39,53,5,0,0,0,0,495,580,1075,C104
"FAIRVIEW" ,4-18-100-7,443,327,29,51,4,0,1,0,0,414,441,855,C105
"BUCKLEY" ,4-18-100-7,425,344,30,53,1,0,0,0,0,408,445,853,C106
"WESTWOOD" ,4-18-100-7,376,234,34,53,6,0,0,0,0,349,354,703,C107
"MILLSEAT" ,4-18-100-7,424,338,30,53,4,1,0,0,1,419,432,851,C108
"MOORE" ,4-18-100-7,279,242,19,34,2,0,0,0,0,248,328,576,C109
"PYRAMID" ,5-18-100-7,4,4,1,0,0,0,0,0,0,5,4,9,C110
"WILLOW" ,5-18-100-7,104,111,2,6,1,0,1,0,0,104,121,225,C111
"SANDY CREEK" ,4-18-098-7,436,414,26,45,6,1,1,0,0,459,470,929,C112
"GREEN HILL" ,4-18-098-7,424,429,36,58,1,1,0,0,0,437,512,949,C113
"MEADS 1" ,4-18-100-7,541,467,57,59,2,0,0,0,0,544,581,1126,C114
"ROCKDALE-SUMMITT" ,4-18-100-7,621,584,39,66,1,0,0,0,1,630,681,1312,C115
"WINSLOW-IRONVILLE" ,4-18-100-7,497,449,28,53,5,0,0,0,0,513,519,1032,C116
"MEADS 2" ,4-18-100-7,278,361,23,30,2,0,0,0,0,331,363,694,C117
"WEST PERRYVILLE" ,2-15-054-5,396,418,33,17,2,1,0,0,0,420,447,867,A101
"EAST PERRYVILLE" ,2-15-054-5,445,509,34,15,2,0,0,0,0,477,528,1005,A102
"MITCHELLSBURG" ,2-15-054-5,273,272,17,18,2,0,0,0,0,300,282,582,A103
"PARKSVILLE" ,2-15-054-5,383,473,37,17,5,1,0,0,0,458,458,916,A104
"BLUEGRASS" ,2-15-054-5,115,157,5,7,1,0,0,0,0,141,144,285,A105
"EAST PARKSVILLE" ,2-15-054-5,160,155,19,7,2,0,1,0,0,172,172,344,B101
"WEST JUNCTION CITY" ,2-15-054-5,406,415,53,34,2,0,0,0,0,452,457,910,B102
"JUNCTION CITY" ,2-15-054-5,637,719,71,62,6,1,0,0,0,689,804,1496,B103
"EAST JUNCTION CITY" ,2-15-054-5,457,520,52,27,3,1,1,0,0,494,566,1061,B104
"R. E. C. C." ,2-15-054-5,616,463,57,40,7,0,1,0,0,533,651,1184,C101
"NAZARENE CHURCH" ,2-15-054-5,632,486,82,45,4,0,0,0,0,566,683,1249,C102
"PERRYVILLE ROAD" ,2-15-054-5,299,202,33,26,0,0,0,0,0,255,305,560,C103
"CLARKS RUN" ,2-15-054-5,544,321,60,30,9,0,1,0,0,424,540,965,C104
"INDIAN HILLS CHRISTIAN" ,2-15-054-5,644,583,60,47,5,1,0,0,0,616,724,1340,D101
"LEXINGTON RD" ,2-15-054-5,526,822,55,53,2,0,0,0,0,730,728,1458,D102
"LANCASTER ROAD" ,2-15-054-5,497,606,43,46,9,1,0,0,0,565,637,1202,D103
"DANVILLE HIGH SCHOOL" ,2-15-054-5,480,393,45,40,4,1,0,1,0,417,547,964,E101
"ST PETER AND PAUL CATHOLIC CHURCH" ,2-15-054-5,454,374,40,36,3,0,0,1,0,417,489,908,E102
"COURT HOUSE" ,2-15-054-5,406,221,51,39,3,1,0,0,0,322,399,721,E103
"CENTRE COLLEGE" ,2-15-054-5,570,251,63,58,7,3,0,0,1,468,483,953,E104
"LEX AVE BAPTIST CHURCH" ,2-15-054-5,495,353,48,39,7,2,0,0,0,411,533,944,F101
"STREAMLAND" ,2-15-054-5,328,362,19,18,2,1,0,0,0,334,396,730,F102
"BOYLE CO HIGH SCHOOL" ,2-15-054-5,476,611,59,40,4,0,0,0,0,539,651,1190,F103
"MILLENNIUM PARK" ,2-15-054-5,433,407,37,45,2,2,1,0,0,398,529,927,F104
